"Process_ID","N","SEED","ATE","SE","SEB","Lower","Upper","Cover","Time_Point","Time_CI"
2468,4000,823,-0.00175344604338507,0.0338866872627767,0.0342536909305601,-0.0681713530784273,0.0646644609916572,1,721.433379173279,7.15255737304688e-05
2469,1000,824,0.112159323782303,0.0706228747557447,0.0665641871018952,-0.0262615107389562,0.250580158303563,1,154.017651319504,6.46114349365234e-05
246,1000,83,0.070820876745662,0.0663257335070983,0.0672201656344343,-0.0591775609282508,0.200819314419575,1,111.219270706177,4.91142272949219e-05
2470,2000,824,-0.0449630807824506,0.046517961194773,0.0469550705555221,-0.136138284724206,0.0462121231593044,1,324.400363683701,5.19752502441406e-05
2471,4000,824,-0.00534645425887589,0.0340427779724877,0.0342289549964464,-0.0720702990849518,0.0613773905672,1,606.193842887878,6.89029693603516e-05
2472,1000,825,-0.0591828560501394,0.0691663077377568,0.0713923972204607,-0.194748819216143,0.0763831071158639,1,109.164142370224,5.45978546142578e-05
2473,2000,825,-0.0235767946837486,0.047591583530186,0.0475875000015086,-0.116856298402913,0.0697027090354158,1,217.613505601883,5.00679016113281e-05
2474,4000,825,-0.04864667362419,0.0341030123744741,0.0339769585783204,-0.115488577878159,0.0181952306297792,1,573.606889247894,8.13007354736328e-05
2475,1000,826,-0.055794309109006,0.0799064904583981,0.0693063535097879,-0.212411030407466,0.100822412189454,1,135.774987220764,4.83989715576172e-05
2476,2000,826,0.0904565214103585,0.0471009050213831,0.0471531162439398,-0.00186125243155232,0.182774295252269,1,296.584218263626,9.27448272705078e-05
2477,4000,826,-0.00966779322346066,0.0343235178178864,0.034238676207463,-0.076941888146518,0.0576063016995967,1,966.551980257034,9.87052917480469e-05
2478,1000,827,0.0879123955731785,0.0681444482470165,0.0679005383178895,-0.0456507229909739,0.221475514137331,1,208.636591672897,9.67979431152344e-05
2479,2000,827,0.00807494391814578,0.047865022739566,0.0471710121845306,-0.0857405006514037,0.101890388487695,1,314.959065437317,6.103515625e-05
